frame,time_sec,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,elbow_left_deg,elbow_right_deg
55,0.9171,4.142,60.000,138.002,140.375,118.300,120.411,28.246,30.780,101.929,93.261,126.063,125.865
56,0.9338,4.218,60.000,142.137,141.798,122.630,121.660,28.289,30.657,102.596,93.543,126.753,126.459
57,0.9505,4.324,60.000,143.779,143.141,124.217,122.552,28.634,30.757,103.661,94.149,127.977,127.316
58,0.9671,4.448,60.000,148.451,144.506,128.572,123.217,29.140,30.980,104.598,95.449,128.917,128.890
59,0.9838,4.526,60.000,154.339,146.084,135.244,124.975,29.880,31.105,103.572,97.220,127.961,130.726
60,1.0005,4.577,60.000,155.885,147.414,136.316,126.325,29.526,31.112,102.397,98.218,126.594,131.869
61,1.0172,4.631,60.000,155.328,149.037,135.660,127.869,29.420,31.178,102.502,98.264,126.680,132.341
62,1.0338,4.729,60.000,157.988,150.693,138.489,129.652,29.288,31.227,102.466,98.661,126.415,133.307
63,1.0505,4.809,60.000,157.435,150.547,137.890,129.389,29.332,31.312,102.743,98.216,126.727,132.997
64,1.0672,4.854,60.000,153.966,150.224,134.582,129.110,29.626,31.380,102.798,97.113,126.782,131.615
65,1.0839,4.881,60.000,153.769,149.565,134.483,128.702,29.778,31.579,102.512,96.993,126.457,131.437
66,1.1005,4.856,60.000,153.677,149.179,134.257,128.340,29.812,31.550,101.824,97.318,125.695,131.336
67,1.1172,4.829,60.000,153.732,148.101,134.447,128.179,29.589,31.399,101.239,97.807,125.036,131.494
68,1.1339,4.821,60.000,154.216,149.808,133.916,128.792,28.851,30.522,100.519,97.887,124.363,131.782
69,1.1506,4.797,60.000,155.219,150.078,134.798,128.623,29.046,30.583,100.530,97.103,123.871,130.433
70,1.1672,4.783,60.000,155.184,146.635,135.396,126.374,29.446,31.457,100.701,96.993,124.215,130.177
71,1.1839,4.778,60.000,155.105,144.288,135.452,124.034,29.547,31.526,100.675,97.226,123.943,130.301
72,1.2006,4.780,60.000,155.620,143.612,136.478,123.898,29.515,31.413,100.485,96.982,123.662,130.074
73,1.2173,4.830,60.000,155.393,143.715,136.813,124.127,30.021,31.572,100.708,96.926,123.835,130.031
74,1.2339,4.830,60.000,155.217,143.840,136.834,124.290,30.107,31.570,100.470,96.742,123.373,129.787
75,1.2506,4.839,60.000,154.841,145.484,136.522,125.519,29.944,30.939,99.783,96.606,122.493,129.578
76,1.2673,4.944,60.000,154.286,149.330,136.337,128.947,29.434,30.376,100.316,96.210,122.883,129.294
77,1.2840,4.966,60.000,154.514,149.405,136.156,128.897,29.124,30.470,100.358,95.827,123.007,129.059
78,1.3006,5.000,60.000,155.359,149.392,137.003,128.956,29.096,30.549,100.420,95.817,123.074,129.077
79,1.3173,5.059,60.000,155.914,149.270,137.020,127.763,29.191,30.983,101.598,95.308,124.130,128.635
80,1.3340,5.025,60.000,157.074,142.566,137.141,121.179,29.971,32.116,101.679,96.813,123.745,130.074
81,1.3507,5.040,60.000,156.129,142.723,136.194,121.341,30.045,31.967,101.689,96.259,123.605,129.579
82,1.3673,5.005,60.000,155.707,142.111,135.970,120.820,30.034,31.955,101.575,96.269,123.751,129.486
83,1.3840,4.965,60.000,153.255,139.969,134.404,119.935,30.224,32.195,100.365,95.145,122.480,127.811
84,1.4007,4.951,60.000,152.654,140.319,134.305,120.252,30.248,32.133,100.695,94.859,123.082,127.612
85,1.4174,4.930,60.000,151.419,139.846,133.791,120.268,30.161,32.111,100.904,93.879,123.617,126.255
86,1.4340,4.822,60.000,151.265,139.092,133.782,120.702,30.159,32.162,100.483,95.469,123.322,127.806
87,1.4507,4.784,60.000,151.002,138.769,133.473,120.922,30.126,32.223,100.259,95.871,123.175,128.127
88,1.4674,4.759,60.000,150.976,138.186,133.441,120.764,30.152,32.538,100.006,96.528,123.141,128.960
89,1.4841,4.746,60.000,151.482,138.551,133.964,120.988,30.185,32.479,99.719,96.868,122.812,129.329
90,1.5007,4.748,60.000,151.916,138.673,134.017,121.131,30.203,32.546,100.077,97.111,123.380,129.549
91,1.5174,4.720,60.000,154.334,140.192,135.968,121.985,29.892,32.069,100.045,97.216,123.438,129.689
92,1.5341,4.663,60.000,155.530,141.155,136.827,122.117,30.034,32.116,101.274,98.199,124.729,130.926
93,1.5508,4.648,60.000,154.989,142.106,136.278,122.423,30.444,32.461,102.088,97.235,125.488,129.814
94,1.5674,4.648,60.000,153.915,141.888,135.923,122.969,30.365,32.404,101.727,95.934,124.923,128.110
95,1.5841,4.594,60.000,152.648,142.211,135.363,124.105,30.158,32.020,100.711,95.600,124.006,127.733
96,1.6008,4.555,60.000,152.682,141.206,135.400,124.130,29.834,32.045,99.720,95.322,122.767,127.279
97,1.6175,4.552,60.000,153.606,142.891,136.006,125.282,29.651,31.744,99.874,95.909,122.893,128.140
98,1.6341,4.516,60.000,153.439,142.286,135.921,125.380,29.688,32.041,99.814,96.487,122.800,128.628
99,1.6508,4.492,60.000,151.782,142.127,134.062,125.182,29.817,32.058,99.898,96.568,122.842,128.815
100,1.6675,4.455,60.000,150.636,142.235,132.828,124.946,29.922,32.063,100.255,96.096,123.335,128.081
101,1.6842,4.423,60.000,149.537,143.449,130.836,124.726,29.901,32.084,101.286,95.614,124.367,127.353
102,1.7008,4.376,60.000,148.778,143.191,130.179,124.489,29.957,32.149,101.323,94.931,124.405,126.645
103,1.7175,4.343,60.000,146.001,143.205,126.818,123.582,29.983,32.163,101.317,93.775,123.978,125.029
104,1.7342,4.318,60.000,146.136,141.297,127.312,122.086,30.351,32.660,101.486,94.113,124.192,125.357
105,1.7509,4.296,60.000,144.820,142.301,124.751,121.866,30.260,32.575,102.343,94.820,125.001,126.051
106,1.7675,4.227,60.000,145.117,140.391,125.193,120.890,30.092,32.562,101.754,95.649,124.436,126.892
107,1.7842,4.265,60.000,145.500,139.270,125.698,119.772,30.155,32.478,101.722,95.666,124.333,127.132
108,1.8009,4.211,60.000,146.924,138.479,127.396,119.037,30.378,32.478,101.746,95.770,124.520,127.181
109,1.8176,4.222,60.000,146.543,138.120,126.984,118.733,29.852,31.958,100.972,95.265,123.471,126.585
110,1.8342,4.212,60.000,146.977,138.833,127.320,119.079,29.427,31.449,100.552,95.206,122.961,126.527
111,1.8509,4.212,60.000,148.319,138.220,129.157,119.154,29.717,32.035,100.198,94.351,122.500,125.371
112,1.8676,4.226,60.000,150.664,137.598,132.790,119.195,29.790,32.039,99.387,93.449,121.846,124.507
113,1.8843,4.250,60.000,152.825,137.608,135.234,119.242,29.935,32.079,99.503,93.421,121.989,124.478
114,1.9009,4.244,60.000,154.811,139.131,137.476,120.578,30.129,31.964,99.576,93.883,122.084,124.712
115,1.9176,4.216,60.000,154.834,140.222,137.448,121.644,30.088,31.930,99.548,93.937,122.053,124.744
116,1.9343,4.252,60.000,155.651,140.690,138.012,121.650,30.192,32.176,100.377,94.640,123.037,125.782
117,1.9510,4.290,60.000,155.670,141.888,137.311,121.830,29.841,31.659,100.736,94.368,123.332,125.740
118,1.9676,4.305,60.000,155.658,143.012,136.974,122.683,29.686,31.475,100.782,94.426,123.419,125.926
119,1.9843,4.310,60.000,156.533,146.896,137.509,126.048,29.327,30.981,100.848,94.242,123.572,125.991
120,2.0010,4.292,60.000,157.458,148.396,138.491,127.561,29.269,30.966,100.835,94.231,123.744,126.145
121,2.0177,4.353,60.000,158.210,149.268,139.293,128.317,29.256,30.908,101.020,94.139,123.981,126.227
122,2.0343,4.314,60.000,158.715,149.103,139.633,127.958,29.317,31.036,101.466,94.409,124.597,126.576
123,2.0510,4.319,60.000,160.586,151.299,141.236,129.778,29.196,31.009,101.812,94.997,125.145,127.292
124,2.0677,4.341,60.000,162.353,152.378,142.576,130.210,28.899,30.779,102.109,95.715,125.391,128.281
125,2.0844,4.436,60.000,163.344,154.245,143.283,131.215,28.522,30.351,102.236,95.463,125.422,128.455
126,2.1010,4.440,60.000,164.211,155.101,143.569,131.328,27.893,29.862,102.249,94.876,125.416,127.820
127,2.1177,4.425,60.000,164.776,156.219,143.170,130.884,27.974,29.940,103.264,94.483,126.275,127.165
128,2.1344,4.421,60.000,164.702,156.222,143.309,131.100,28.160,30.022,103.141,94.356,126.146,126.974
129,2.1511,4.437,60.000,164.479,156.226,142.954,131.294,28.179,29.963,103.163,94.155,126.105,126.740
130,2.1677,4.415,60.000,164.603,157.284,142.667,132.071,28.154,29.979,103.224,94.657,126.335,127.385
131,2.1844,4.414,60.000,164.205,157.498,142.394,132.606,28.108,30.074,104.025,94.551,127.449,127.479
132,2.2011,4.440,60.000,163.825,157.473,143.037,133.414,27.818,29.729,103.646,94.181,127.151,127.583
133,2.2178,4.484,60.000,163.080,159.329,142.916,135.520,27.112,28.840,103.310,92.263,126.557,125.287
134,2.2344,4.548,60.000,161.604,158.608,140.380,134.583,26.713,29.181,103.786,86.513,126.673,120.727
135,2.2511,4.510,60.000,159.472,158.623,138.446,134.468,27.391,29.564,103.738,87.906,126.842,120.182
136,2.2678,4.472,60.000,158.356,157.461,137.455,134.530,27.523,29.739,103.390,89.820,126.558,121.931
137,2.2845,4.415,60.000,158.676,153.602,137.986,131.673,27.731,30.222,102.994,91.319,126.196,123.704
138,2.3011,4.355,60.000,159.007,151.149,138.194,129.134,27.743,30.280,102.899,89.257,126.225,122.349
139,2.3178,4.303,60.000,158.804,149.861,138.278,127.904,27.739,30.210,102.023,89.130,125.345,122.220
140,2.3345,4.294,60.000,157.939,151.514,138.660,130.805,27.784,30.137,101.056,88.861,124.700,121.303
141,2.3512,4.267,60.000,159.878,156.502,138.622,132.512,28.027,30.462,103.710,88.852,126.965,120.785
142,2.3678,4.284,60.000,160.458,157.520,138.900,133.024,28.016,30.455,103.898,87.016,127.564,119.966
143,2.3845,4.341,60.000,160.801,157.754,139.036,132.922,28.069,30.466,103.539,86.888,126.837,120.400
144,2.4012,4.305,60.000,162.490,156.177,141.639,133.351,28.143,30.246,101.608,90.981,125.314,124.776
145,2.4179,4.268,60.000,165.914,156.946,146.198,135.408,28.173,29.939,99.619,91.919,123.346,125.949
146,2.4345,4.329,60.000,166.222,157.315,146.601,135.826,28.830,30.558,98.042,91.293,121.971,125.858
147,2.4512,4.324,60.000,167.745,157.855,149.359,136.283,29.230,30.536,97.219,90.402,121.755,125.096
148,2.4679,4.326,60.000,168.041,158.447,150.647,137.008,28.967,30.379,95.715,89.945,121.319,124.810
149,2.4846,4.352,60.000,168.170,158.002,151.015,136.714,29.112,30.361,94.365,90.810,120.146,125.430
150,2.5012,4.322,60.000,170.063,160.241,152.521,136.977,29.243,30.371,93.354,93.773,118.820,129.369
151,2.5179,4.362,60.000,170.005,161.005,152.436,136.395,30.134,30.824,93.949,93.452,119.577,128.639
152,2.5346,4.328,60.000,169.152,164.141,152.033,135.975,30.182,31.029,94.228,95.445,120.389,132.719
153,2.5513,4.230,60.000,164.885,168.987,152.962,136.449,30.490,31.389,90.380,92.921,114.886,130.445
154,2.5679,4.166,60.000,162.254,170.540,154.243,136.162,31.439,32.247,87.011,88.426,110.669,126.125
155,2.5846,4.097,60.000,163.608,169.464,154.343,135.456,31.659,32.072,82.715,84.529,104.866,120.430
156,2.6013,4.066,60.000,167.736,164.143,153.964,134.506,31.710,31.801,80.683,83.841,104.492,118.959
157,2.6180,3.943,60.000,169.600,158.796,156.357,135.054,31.610,31.794,76.452,85.375,101.344,121.291
158,2.6346,3.831,60.000,171.079,153.143,156.388,135.102,30.897,31.481,70.074,81.995,94.007,116.339
159,2.6513,3.664,60.000,171.051,154.504,155.426,135.537,30.995,31.691,65.118,80.200,87.663,115.072
160,2.6680,3.564,60.000,170.608,154.131,155.423,135.538,31.461,31.672,63.951,76.924,86.128,111.897
161,2.6847,3.488,60.000,170.082,162.390,154.848,137.879,32.838,32.487,85.003,68.808,110.250,104.162
162,2.7013,3.407,60.000,170.843,165.535,156.142,142.111,33.154,33.136,79.556,70.563,107.727,105.851
163,2.7180,3.414,60.000,165.018,165.511,157.197,149.000,34.541,35.371,86.105,74.575,119.194,111.172
164,2.7347,3.380,60.000,167.737,170.595,156.732,147.277,34.312,35.289,83.110,72.988,114.154,110.141
165,2.7514,3.328,60.000,169.678,169.683,154.000,142.064,34.109,34.869,82.258,70.596,112.968,105.359
166,2.7680,3.263,60.000,169.979,168.853,153.180,142.093,34.720,35.062,79.083,69.094,110.237,104.822
167,2.7847,3.355,60.000,168.896,164.711,152.617,142.915,34.515,35.191,68.487,68.870,97.675,108.903
168,2.8014,3.470,60.000,163.899,162.535,151.037,142.617,35.666,35.493,69.419,65.130,100.849,107.232
169,2.8181,3.915,60.000,156.235,154.390,149.744,142.048,35.045,34.926,65.827,63.570,96.636,104.936
170,2.8347,4.274,60.000,152.791,148.117,148.657,138.155,35.019,34.204,54.531,59.821,85.718,101.522
171,2.8514,4.687,60.000,153.065,150.827,147.884,138.279,35.634,34.075,58.164,58.382,90.987,103.913
172,2.8681,5.168,60.000,154.521,152.948,147.796,138.291,35.525,34.279,58.941,57.058,92.345,103.488
173,2.8848,5.497,60.000,153.848,153.301,146.524,138.453,36.449,34.865,52.420,49.886,87.854,97.814
174,2.9014,5.630,60.000,154.765,167.571,140.775,135.081,44.709,43.056,55.992,48.169,101.112,105.762
175,2.9181,5.651,60.000,152.067,150.924,139.953,131.622,39.782,38.616,49.262,44.584,91.939,100.733
176,2.9348,5.614,60.000,155.480,161.187,141.141,132.316,44.215,42.336,47.601,45.044,95.411,106.062
177,2.9515,5.525,60.000,159.283,162.247,144.087,133.360,47.162,45.590,42.769,44.899,94.972,110.003
178,2.9681,5.457,60.000,156.170,156.656,143.931,130.935,48.218,45.837,40.072,41.810,94.588,108.984
179,2.9848,5.341,60.000,155.489,160.319,145.647,134.780,52.232,49.593,39.787,41.657,102.146,115.215
180,3.0015,5.159,60.000,149.232,148.123,142.244,131.864,46.592,44.776,29.632,34.615,83.566,99.131
181,3.0182,4.984,60.000,153.534,154.971,142.863,132.321,47.792,45.519,31.214,36.712,91.819,109.185
182,3.0348,4.692,60.000,145.819,137.716,139.476,128.219,40.339,38.919,21.626,33.835,72.609,101.668
183,3.0515,4.467,60.000,144.404,135.338,137.020,125.729,35.068,33.861,20.061,36.366,68.344,92.141
184,3.0682,4.341,60.000,143.349,133.855,135.269,124.020,34.009,33.086,19.506,33.643,70.947,87.854
185,3.0849,4.333,60.000,142.443,134.223,134.016,123.254,34.266,33.203,18.703,31.167,71.026,86.487
186,3.1015,4.249,60.000,142.794,134.243,133.155,122.100,33.325,32.961,17.540,28.574,66.912,82.835
187,3.1182,4.135,60.000,143.924,136.400,133.452,122.376,33.747,32.943,17.450,22.192,59.444,69.395
188,3.1349,4.065,60.000,142.849,136.556,130.453,120.660,31.940,31.400,17.117,22.524,60.856,72.132
189,3.1516,4.126,60.000,144.937,138.547,131.437,120.883,31.656,31.819,17.108,22.001,60.669,71.395
190,3.1682,3.980,60.000,144.895,138.908,130.278,119.571,32.246,31.589,17.383,22.868,60.768,72.924
191,3.1849,3.913,60.000,140.053,134.907,125.467,115.530,30.929,30.599,17.106,22.305,59.230,70.702
