frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
28,0.4670000000000001,158.788,1.277,18.602,168.26544020043812,165.22293254736013,160.0,159.94578935164077,82.68918133824687,99.62665148820844,36.339,12.104,99.468,95.208,147.672,141.034,121.716,165.758,0.025,0.012
29,0.4837,158.334,1.0,18.557,168.9776359245638,165.43347422121929,160.0,159.82722745599784,82.41906969514527,102.12197169860238,35.969,11.882,99.662,94.771,148.331,141.164,122.03,169.594,0.025,0.013
30,0.5004000000000002,158.084,0.579,18.221,169.65088736296076,165.5714974120121,160.0,159.54524140205197,81.54197102722065,105.42309480955514,35.966,11.717,99.715,95.243,147.727,141.243,121.285,168.613,0.024,0.013
31,0.5171000000000001,157.852,0.654,17.297,170.22111670899608,165.53786013098215,160.0,158.9944110170765,80.41090128740959,109.55282143790006,35.641,10.56,98.936,95.569,147.073,141.142,119.196,166.446,0.024,0.013
32,0.5337000000000001,157.415,0.406,16.889,170.65081772016327,165.4055184269964,160.0,158.09097040014686,79.41904809960276,114.39835718632054,35.787,10.019,99.141,95.202,145.488,143.493,117.068,160.612,0.023,0.013
33,0.5504,156.482,0.321,16.303,170.93094149518993,165.43926427259075,160.0,156.81143674736575,78.87966366802999,119.69551986007902,36.545,9.332,100.364,94.773,143.521,144.543,117.612,160.588,0.023,0.013
34,0.5671000000000002,155.614,0.706,14.846,171.09385228733115,165.89989223411382,160.0,155.20304642379628,78.9659438715714,124.97177100151265,37.119,8.776,101.447,94.185,140.852,145.987,118.385,163.84,0.021,0.012
35,0.5838000000000001,152.518,1.108,13.972,171.229736947905,166.81826810896877,160.0,153.3790026219799,79.70357081427717,129.6225521421378,36.977,8.736,101.596,94.267,138.451,146.364,117.035,164.053,0.019,0.012
36,0.6005,150.151,1.098,12.668,171.46505660757,167.95814476178984,160.0,151.51703967623627,81.00164924693964,133.19555401486946,33.641,9.316,99.329,94.691,136.462,146.453,118.332,160.187,0.016,0.01
37,0.6171000000000002,140.291,0.83,11.241,171.88632938663895,168.9669197548199,160.0,149.85199629609883,82.72033921657557,135.59348029153216,33.343,9.725,101.901,94.365,135.611,150.0,123.288,157.075,0.015,0.008
38,0.6338000000000001,137.195,0.593,9.724,172.45739159517325,169.54702814204836,160.0,148.63433584325483,84.72298641742591,136.89396769492626,28.889,10.523,99.196,95.417,134.979,150.0,125.045,154.79,0.012,0.006
39,0.6505000000000001,134.385,0.686,9.114,173.01421028362273,169.5303017900098,160.0,148.02709988136618,86.86191174660274,137.02918355376718,27.983,13.058,97.915,99.292,133.444,150.0,125.909,150.622,0.011,0.008
40,0.6672,127.635,0.536,8.469,173.36772505657208,168.86673921801534,160.0,147.97785989676404,88.9207827639813,135.850661432939,27.163,18.493,97.63,106.39,133.615,150.0,127.856,142.456,0.01,0.007
41,0.6838000000000002,125.437,0.689,7.8,173.43869940432862,167.60367076980629,160.0,148.20585390465897,90.584549907787,133.58791669902064,26.946,21.942,97.699,109.518,133.452,150.0,130.078,142.746,0.01,0.008
42,0.7005000000000001,122.906,0.647,6.707,173.2996529676896,165.91136742231416,160.0,148.394392339582,91.4949147223775,131.0720874030712,26.515,25.753,97.732,114.057,134.318,150.0,130.49,140.282,0.009,0.011
43,0.7172000000000001,120.178,0.642,5.283,173.0846681421674,164.12443959705055,160.0,148.451963458469,91.383393526542,129.26798894500183,25.788,23.782,96.458,113.192,135.049,150.0,130.055,146.52,0.009,0.01
44,0.7339,118.694,0.962,3.58,172.87336828300587,162.69299370278873,160.0,148.6021663834778,90.20160819692526,128.48059543415746,26.654,23.19,96.745,113.369,134.771,150.0,129.566,146.516,0.01,0.01
45,0.7506000000000002,117.137,1.161,2.407,172.6826098051722,161.9876811758315,160.0,149.21957667780535,88.17741451530279,128.03008562758063,25.889,24.52,95.475,116.365,135.814,150.0,128.627,139.434,0.01,0.011
46,0.7672000000000001,116.047,1.266,2.506,172.53832248109515,162.0746056565285,160.0,150.54533377114734,85.7689333924936,126.71300600629479,24.609,28.65,91.958,121.596,139.456,150.0,125.515,135.633,0.011,0.012
