frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
119,1.9848000000000001,115.53,0.413,8.845,165.35117673777202,165.97609066978976,159.94136477929504,124.35449440826935,89.78267247348236,144.14597240037148,20.781,26.274,91.355,119.164,138.792,150.0,137.752,145.741,0.006,0.007
120,2.0015,109.251,0.506,8.507,165.77268400552998,165.6722374309608,159.98096393092405,124.08734325366709,88.44322511046155,141.971469495484,19.685,21.354,89.762,117.872,141.262,150.0,132.851,156.473,0.007,0.011
121,2.0182,105.543,0.864,8.253,166.00843903293367,165.21566219154596,159.99518692798915,124.53967182841954,87.58822559886802,140.42941041581298,21.028,16.135,90.634,115.006,142.118,150.0,131.198,148.413,0.007,0.007
122,2.0347999999999997,104.134,0.967,6.613,166.36787273432924,164.3885954019092,159.99905224992747,125.69306664658393,87.41200317863375,139.43265826017299,20.938,14.681,89.901,113.497,142.618,150.0,131.023,148.025,0.007,0.006
123,2.0515,103.901,1.191,4.993,167.05225304313134,163.15951143753762,159.99985465781907,127.50464333444435,87.93823968477159,138.67502070122237,22.019,10.547,91.103,107.173,144.568,150.0,128.766,154.806,0.008,0.006
124,2.0682,103.591,1.318,3.981,168.04233161351806,161.660897534792,160.0,129.87391513267823,88.90398464569563,137.9186136251667,22.534,10.485,92.475,107.212,143.969,150.0,129.948,156.892,0.008,0.006
125,2.0849,101.307,1.822,2.854,169.08495933143698,160.08153792187,160.0,132.69795782782933,89.77256837359266,137.09383096405352,23.077,10.309,91.031,110.977,145.353,150.0,128.502,151.292,0.008,0.006
126,2.1016000000000004,103.457,1.895,2.127,169.7571776474713,158.57112552743797,160.0,135.89995735501367,89.9905835709635,136.14200864433906,23.138,10.973,89.999,110.758,145.895,150.0,128.75,153.303,0.008,0.006
127,2.1182,104.502,2.288,2.243,169.67117079245236,157.21773356503013,160.0,139.36577909666664,89.34009039281497,134.84083324670075,22.864,11.341,89.494,111.424,145.12,150.0,123.951,149.406,0.008,0.006
128,2.1349,104.08,2.27,1.626,168.80170071653882,156.10171009548253,160.0,142.91249291964428,88.0738082919229,132.86070036693377,22.203,12.327,89.895,112.737,143.869,150.0,129.949,146.543,0.007,0.006
129,2.1516,105.794,2.353,1.521,167.64184934508913,155.36028108571054,160.0,146.35467798433655,86.72118798411245,129.97682882482556,21.875,12.684,90.848,111.929,145.303,150.0,131.08,153.229,0.007,0.007
130,2.1683000000000003,106.808,2.273,1.582,166.90709387814883,155.16642983760815,160.0,149.562595803822,85.74524494848684,126.16222959312415,23.3,13.226,91.144,111.431,141.426,150.0,129.826,151.726,0.007,0.007
131,2.1849,106.59,2.508,1.437,166.9704541859518,155.61501728473564,160.0,152.44758231938533,85.30569019818495,121.48672841856407,22.573,13.339,89.794,111.964,142.833,150.0,130.585,150.483,0.007,0.007
132,2.2016,108.619,2.614,1.533,167.5737358971412,156.62553951672226,160.0,154.92882581714412,85.26610222913818,115.99584257616857,23.011,14.596,90.489,112.642,141.13,150.0,129.734,150.039,0.008,0.007
133,2.2183,109.759,2.518,1.537,168.0970621309288,157.95574647589183,160.0,156.9216445774823,85.40318491274721,109.69817880246386,22.925,15.81,89.868,114.171,143.395,150.0,128.559,148.288,0.008,0.007
134,2.2350000000000003,107.377,2.536,1.495,168.09117628728808,159.3141719615595,160.0,158.3604897678948,85.60865252491199,102.64617440289797,22.415,13.233,87.189,112.065,145.147,150.0,128.002,148.73,0.008,0.007
135,2.2517000000000005,104.162,2.606,1.436,167.56203974366923,160.49062156081067,160.0,159.2555815686226,85.8771902227191,95.06137343761748,20.047,12.282,87.734,111.325,146.334,150.0,133.195,147.374,0.007,0.007
136,2.2683,104.364,2.694,1.476,166.82766277749994,161.4168977149264,160.0,159.71836509698144,86.12754477212302,87.44270188508261,20.536,12.007,90.703,107.791,147.743,150.0,142.658,155.032,0.007,0.009
137,2.285,102.471,2.623,1.817,166.22941319724586,162.1225971289611,160.0,159.9127601909617,86.13879371717168,80.55624695806455,20.08,14.434,90.36,113.067,144.638,150.0,142.211,167.128,0.007,0.011
138,2.3017000000000003,104.28,2.337,1.564,166.0206598400364,162.64709994821618,160.0,159.97817344551322,85.75543015456795,75.21458467823452,19.382,15.145,89.899,111.606,144.107,150.0,143.95,162.592,0.007,0.011
139,2.3184000000000005,104.0,2.135,1.545,166.3827597415607,163.00917377370678,160.0,159.99563557547503,85.12135755299657,71.90152602925698,18.26,14.917,87.846,111.161,145.031,150.0,142.551,159.045,0.007,0.01
140,2.3350999999999997,104.149,2.446,1.326,167.37374188852496,163.24262104441306,160.0,159.99933686153412,84.6419033792927,70.51424766822443,18.516,14.081,87.545,110.314,144.417,150.0,144.26,156.942,0.007,0.01
141,2.3517,103.303,2.302,1.342,168.8597313922365,163.40969850377158,160.0,159.99995991714258,84.74450270608949,70.48276852855773,19.055,15.028,88.578,111.25,141.5,150.0,141.113,158.872,0.007,0.01
142,2.3684000000000003,104.853,2.448,1.218,170.56696698112654,163.54538345601512,160.0,160.0,85.71843874247894,71.20919597932183,18.755,14.687,86.865,110.532,142.222,150.0,139.657,158.974,0.007,0.009
143,2.3851000000000004,104.362,2.409,0.898,172.1676814424691,163.59372386373735,160.0,160.0,87.69205064925946,72.49844390131612,18.738,14.9,81.761,111.763,144.382,150.0,137.412,158.015,0.007,0.009
144,2.4017999999999997,108.127,2.461,0.918,173.30390520349863,163.4209521733336,160.0,160.0,90.63553790072599,74.65667295395284,18.656,14.216,83.742,110.089,140.154,150.0,132.166,155.171,0.007,0.007
145,2.4185,110.15,2.323,0.719,173.67764726740296,162.91775609554116,159.9999867505747,160.0,94.38025960444423,78.13279563429009,18.512,14.56,85.246,109.092,139.088,150.0,133.424,152.625,0.007,0.007
146,2.4351000000000003,113.807,1.979,0.278,173.2697990512632,162.10781658209532,159.99956523669044,160.0,98.70810729838806,82.93373785349331,17.636,15.111,85.921,106.998,139.518,150.0,134.68,154.682,0.007,0.007
147,2.4518000000000004,113.469,1.668,0.206,172.4589266156711,161.15813640946703,159.99673962130709,159.99985465781907,103.47254768833281,88.34088616040594,17.046,14.567,87.28,106.419,141.133,150.0,135.631,157.86,0.007,0.006
148,2.4684999999999997,114.125,1.47,1.705,171.83805182840172,160.28205576673167,159.98248562897567,159.99905224992747,108.65164412586775,93.23601241685128,16.794,14.046,88.476,105.434,144.872,150.0,136.5,160.638,0.008,0.006
149,2.4852,117.224,1.148,3.228,171.82696154605947,159.62946608244982,159.9256439602216,159.99518692798915,114.29138710388459,96.7251492060361,16.874,13.93,90.185,103.368,144.199,150.0,136.069,162.279,0.009,0.006
150,2.5018000000000002,115.318,0.84,4.296,172.3650142227204,159.24659075125612,159.74612565474962,159.98096393092405,120.39275884768256,98.50388400004147,16.775,14.041,90.668,105.769,142.442,150.0,138.736,165.59,0.008,0.006
151,2.5185000000000004,114.813,0.911,4.927,172.92597452055892,159.10670423414643,159.29433593658027,159.94136477929504,126.8257866495408,98.80381848946377,16.135,13.822,90.964,107.356,143.043,150.0,136.839,167.111,0.008,0.007
152,2.5351999999999997,115.87,0.937,5.009,172.87622402781702,159.17007335532864,158.3813130494518,159.85934141769457,133.26723896684496,98.14926994472194,20.33,13.235,96.666,108.148,143.162,150.0,146.328,166.316,0.008,0.007
153,2.5519,115.412,1.116,5.803,171.91913255661103,159.43680335420444,156.87969802982232,159.73721517222967,139.13408249851548,97.11119757168167,20.826,12.749,96.205,108.052,145.784,150.0,148.196,164.024,0.008,0.006
154,2.5686,115.468,1.078,6.573,170.2755848900312,159.9640579728878,154.81959184453694,159.61765033170224,143.60829665381587,96.08197026910864,21.18,11.954,96.588,107.604,145.758,150.0,151.474,164.197,0.007,0.006
155,2.5852000000000004,116.619,1.093,6.411,168.4746905713209,160.82235088680534,152.3489014862558,159.5667410648378,145.90362466198474,95.13830802794365,18.633,11.966,96.274,107.13,148.408,150.0,152.921,166.893,0.007,0.006
156,2.6018999999999997,117.463,1.552,5.94,166.9625581308057,162.000321425486,149.54101092186008,159.61765033170224,145.7367658062768,94.11593700812315,18.574,13.573,95.624,107.395,147.602,150.0,152.68,167.766,0.006,0.007
157,2.6186,114.975,1.947,5.207,165.8600610145357,163.3306589220134,146.21988733949786,159.73721517222967,143.68690967886465,92.84705527356559,24.905,11.238,97.864,107.344,147.479,150.0,152.79,165.997,0.006,0.006
158,2.6353,116.117,1.735,5.295,165.01860351485394,164.5281884950213,142.0362183528745,159.85934141769457,141.046644178746,91.3404966272205,26.995,9.537,99.286,104.118,149.171,150.0,155.496,169.306,0.006,0.006
159,2.652,116.968,1.624,4.607,164.24179676033071,165.35117673777202,136.86849059391932,159.94136477929504,139.12254962768665,89.78267247348236,28.849,10.053,99.838,104.357,144.538,150.0,157.192,170.918,0.005,0.007
160,2.6686000000000005,115.706,1.607,4.322,163.44531945695053,165.77268400552998,131.26359558278003,159.98096393092405,138.50079392831066,88.44322511046155,28.327,9.886,99.749,104.532,143.988,150.0,157.319,170.972,0.005,0.007
161,2.6853,115.467,1.664,4.045,162.66286132462906,166.00843903293367,126.39662564332573,159.99518692798915,138.87041752503472,87.58822559886802,27.015,11.584,98.979,106.893,143.012,150.0,147.449,171.595,0.006,0.008
162,2.702,118.536,1.53,5.469,161.95972159553082,166.36787273432924,123.39736564089213,159.99905224992747,139.4587485087784,87.41200317863375,26.719,15.72,99.732,108.919,141.427,150.0,154.372,172.564,0.005,0.009
