frame,time_sec,head_pitch_deg,abdomen_y_deg,abdomen_x_deg,hip_y_left_deg,hip_y_right_deg,knee_left_deg,knee_right_deg,ankle_y_left_deg,ankle_y_right_deg,shoulder1_left_deg,shoulder1_right_deg,shoulder2_left_deg,shoulder2_right_deg,elbow_left_deg,elbow_right_deg,wrist_left_deg,wrist_right_deg,gripper_left_dist,gripper_right_dist
36,0.6004,145.752,0.231,10.130,168.374,140.380,160.000,160.000,88.346,65.240,27.400,22.782,92.501,107.212,132.631,146.733,115.569,169.046,0.017,0.010
37,0.6171,147.963,0.107,11.598,168.158,140.201,160.000,160.000,88.407,63.133,27.919,23.532,92.583,107.415,132.286,145.221,113.300,168.889,0.018,0.010
38,0.6338,150.038,0.139,11.650,165.461,139.585,160.000,160.000,90.338,64.255,28.848,22.096,93.265,107.576,133.950,144.729,117.742,169.470,0.017,0.010
39,0.6505,150.209,0.418,11.925,163.208,138.323,160.000,160.000,93.729,63.853,28.992,22.584,94.600,107.435,134.106,145.364,121.998,170.838,0.017,0.010
40,0.6672,149.899,0.670,12.302,163.658,137.642,160.000,160.000,95.627,66.834,28.466,21.871,93.836,106.717,134.921,145.567,121.657,170.757,0.017,0.010
41,0.6838,148.349,0.604,12.850,164.840,139.347,160.000,160.000,98.397,66.255,28.765,23.148,95.422,108.487,134.051,145.774,123.096,169.100,0.017,0.010
42,0.7005,146.735,0.534,12.419,165.555,140.382,160.000,160.000,102.775,67.823,29.017,25.979,97.451,109.453,132.934,145.638,124.569,169.413,0.017,0.010
43,0.7172,146.235,0.656,10.717,165.499,140.487,160.000,160.000,104.350,69.078,28.174,27.485,96.250,110.868,135.588,145.107,128.925,168.404,0.016,0.010
44,0.7339,147.138,0.893,11.138,166.638,144.329,160.000,160.000,105.432,72.105,29.979,26.391,97.763,110.475,137.351,144.042,131.629,167.018,0.016,0.009
45,0.7505,151.518,0.757,11.528,167.858,141.846,157.516,160.000,104.866,76.522,29.004,25.816,93.897,111.811,130.375,139.584,122.091,141.828,0.015,0.006
46,0.7672,153.701,0.558,10.249,167.954,143.919,153.048,160.000,107.784,81.098,31.243,23.916,93.808,112.652,129.882,133.653,115.862,132.542,0.018,0.007
47,0.7839,153.716,0.421,6.276,167.262,145.435,150.826,160.000,108.992,81.535,31.589,20.310,93.317,109.554,128.910,128.667,112.770,147.294,0.018,0.010
48,0.8006,154.836,0.399,1.258,165.297,151.237,148.481,160.000,110.455,79.571,31.685,11.545,93.519,103.082,128.879,135.511,111.894,151.004,0.018,0.012
49,0.8173,155.587,0.011,2.457,161.668,154.501,147.182,160.000,112.449,80.399,30.938,7.004,89.827,101.850,131.423,138.190,107.388,148.605,0.019,0.012
50,0.8339,155.536,0.069,8.494,160.712,158.710,145.888,160.000,114.425,82.339,32.286,7.147,91.463,101.169,132.650,139.704,108.240,152.486,0.019,0.011
51,0.8506,156.661,0.421,14.526,159.047,163.100,143.881,160.000,113.250,77.198,34.277,7.594,93.458,100.908,132.300,140.406,110.077,157.733,0.019,0.012
52,0.8673,156.530,0.506,17.822,157.171,159.811,143.546,160.000,113.078,82.758,37.165,6.911,95.631,101.390,135.598,140.368,112.477,159.156,0.020,0.013
53,0.8840,154.512,0.619,19.093,155.580,162.716,141.817,160.000,116.886,86.051,36.352,6.855,94.335,99.690,136.037,142.251,113.000,160.552,0.020,0.013
54,0.9007,158.147,0.454,15.520,152.294,166.077,138.108,160.000,120.094,90.847,34.944,7.482,95.620,99.839,139.347,145.746,120.437,160.077,0.019,0.012
55,0.9173,157.799,0.455,11.273,148.144,162.807,134.493,160.000,118.711,90.266,38.286,8.359,98.546,99.641,137.763,143.983,117.258,157.391,0.021,0.013
56,0.9340,156.340,0.518,8.012,149.931,163.056,134.545,160.000,124.308,93.444,37.997,9.671,99.516,99.088,137.293,142.832,120.404,159.011,0.020,0.013
57,0.9507,156.554,0.610,7.998,155.225,161.149,136.800,160.000,134.133,100.745,37.014,11.935,101.380,99.951,139.647,144.693,126.566,153.238,0.020,0.011
58,0.9674,157.400,0.645,9.556,155.697,159.719,135.354,160.000,121.879,103.323,34.704,12.580,99.809,99.900,146.159,146.666,131.767,155.292,0.020,0.010
59,0.9841,157.063,0.685,11.905,153.432,159.904,132.971,160.000,119.578,103.477,32.875,12.770,96.616,101.528,150.000,145.063,127.384,152.458,0.023,0.010
60,1.0007,155.928,0.627,12.010,150.742,159.377,132.019,160.000,128.004,113.683,34.905,12.722,98.390,102.324,150.000,145.731,125.247,151.819,0.023,0.011
61,1.0174,153.834,0.442,12.685,152.822,155.532,133.732,160.000,134.512,118.661,36.849,11.957,101.512,101.267,149.016,147.837,126.675,157.133,0.022,0.011
